diagnosis,recommended_drugs
"Acute exacerbation of Schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
"narcolepsy, needs dosage adjustment","Modafinil, Armodafinil, Sodium oxybate"
Acute exacerbation of Obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
history of hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
assessment: adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
DSM-5 Diagnosis: Acute stress disorder,"Clonazepam, Propranolol, Hydroxyzine"
"suspected schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
"bipolar i disorder, depressed episode, suicidal ideation present","Lurasidone, Quetiapine, Lamotrigine"
Chronic Seasonal affective disorder,"Bupropion, Fluoxetine, Sertraline"
"opioid withdrawal, resistant to therapy","Buprenorphine, Methadone, Clonidine"
DSM-5 Diagnosis: Bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
"primary insomnia, experiencing hallucinations","Zolpidem, Eszopiclone, Trazodone"
Borderline personality disorder - outpatient follow-up,"Lamotrigine, Aripiprazole, Fluoxetine"
"opioid dependence, cognitive decline","Buprenorphine, Naltrexone, Methadone"
Brief psychotic disorder - poor sleep quality,"Haloperidol, Risperidone, Olanzapine"
social anxiety,"Sertraline, Propranolol, Venlafaxine"
Acute stress disorder - requires hospitalization,"Clonazepam, Propranolol, Hydroxyzine"
Tourette's disorder,"Haloperidol, Pimozide, Clonidine"
Post-traumatic stress disorder (PTSD) - patient stable,"Sertraline, Paroxetine, Prazosin"
Severe Hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
Patient presents with Persistent depressive disorder (Dysthymia),"Citalopram, Sertraline, Mirtazapine"
"DSM-5 Diagnosis: Schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
Bulimia nervosa - first psychotic episode,"Fluoxetine, Topiramate, Sertraline"
"tourette's disorder, needs dosage adjustment","Haloperidol, Pimozide, Clonidine"
opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
severe bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
"obsessive-compulsive disorder, agitated behavior","Fluvoxamine, Clomipramine, Fluoxetine"
"opioid withdrawal, patient stable","Buprenorphine, Methadone, Clonidine"
"body dysmorphic disorder, worsening symptoms","Sertraline, Fluoxetine, Escitalopram"
high risk of generalized anxiety disorder,"Sertraline, Buspirone, Venlafaxine"
"anorexia nervosa, needs dosage adjustment","Olanzapine, Fluoxetine, Mirtazapine"
Narcolepsy - outpatient follow-up,"Modafinil, Armodafinil, Sodium oxybate"
Tourette's disorder,"Haloperidol, Pimozide, Clonidine"
"adjustment disorder with depressed mood, mood swings reported","Escitalopram, Sertraline, Bupropion"
"tourette's disorder, needs dosage adjustment","Haloperidol, Pimozide, Clonidine"
suspected bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
severe body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
"nervousness or severe stress, cognitive decline","Hydroxyzine, Buspirone, Propranolol"
Bipolar II disorder - patient stable,"Lamotrigine, Lithium, Quetiapine"
"acute stress disorder, agitated behavior","Clonazepam, Propranolol, Hydroxyzine"
suspected delusional disorder,"Aripiprazole, Risperidone, Pimozide"
"opioid dependence, poor sleep quality","Buprenorphine, Naltrexone, Methadone"
bipolar ii,"Lamotrigine, Lithium, Quetiapine"
Major depressive,"Venlafaxine, Duloxetine, Bupropion"
social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
chronic anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
acute exacerbation of binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
Schizotypal personality disorder - experiencing hallucinations,"Risperidone, Olanzapine, Haloperidol"
Chronic Opioid dependence,"Buprenorphine, Naltrexone, Methadone"
"seasonal affective disorder, high anxiety levels","Bupropion, Fluoxetine, Sertraline"
"attention-deficit hyperactivity disorder (adhd), resistant to therapy","Methylphenidate, Amphetamine, Atomoxetine"
severe binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
assessment: generalized anxiety disorder,"Sertraline, Buspirone, Venlafaxine"
"acute stress disorder, needs dosage adjustment","Clonazepam, Propranolol, Hydroxyzine"
Chronic Bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
Bipolar II disorder - cognitive decline,"Lamotrigine, Lithium, Quetiapine"
Severe Panic disorder,"Alprazolam, Clonazepam, Paroxetine"
"major depressive disorder, recurrent, resistant to therapy","Venlafaxine, Duloxetine, Bupropion"
"bipolar i disorder, depressed episode, suicidal ideation present","Lurasidone, Quetiapine, Lamotrigine"
"nervousness or severe stress, cognitive decline","Hydroxyzine, Buspirone, Propranolol"
Post-traumatic stress disorder (PTSD) - agitated behavior,"Sertraline, Paroxetine, Prazosin"
"chronic major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
Alcohol withdrawal syndrome - compliant with meds,"Chlordiazepoxide, Diazepam, Lorazepam"
"history of schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
"autism spectrum disorder (irritability), worsening symptoms","Risperidone, Aripiprazole, Guanfacine"
Assessment: Seasonal affective disorder,"Bupropion, Fluoxetine, Sertraline"
Opioid withdrawal - resistant to therapy,"Buprenorphine, Methadone, Clonidine"
Suspected Cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
"major depressive disorder, recurrent, mood swings reported","Venlafaxine, Duloxetine, Bupropion"
History of Generalized anxiety disorder,"Sertraline, Buspirone, Venlafaxine"
Nicotine dependence - outpatient follow-up,"Varenicline, Bupropion, Nicotine patch"
"Patient presents with Bipolar I disorder, manic episode","Lithium, Valproate, Quetiapine"
suspected primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
"schizophrenia, unspecified, patient stable","Risperidone, Olanzapine, Aripiprazole"
History of Generalized anxiety disorder,"Sertraline, Buspirone, Venlafaxine"
high risk of alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
severe alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
Severe Bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
"brief psychotic disorder, outpatient follow-up","Haloperidol, Risperidone, Olanzapine"
"Bipolar I disorder, manic episode - suicidal ideation present","Lithium, Valproate, Quetiapine"
Narcolepsy,"Modafinil, Armodafinil, Sodium oxybate"
history of restless legs syndrome,"Pramipexole, Ropinirole, Gabapentin"
borderline personality,"Lamotrigine, Aripiprazole, Fluoxetine"
Borderline personality disorder - outpatient follow-up,"Lamotrigine, Aripiprazole, Fluoxetine"
Suspected Binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
Opioid withdrawal - mood swings reported,"Buprenorphine, Methadone, Clonidine"
Schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
restless legs syndrome,"Pramipexole, Ropinirole, Gabapentin"
"primary insomnia, experiencing hallucinations","Zolpidem, Eszopiclone, Trazodone"
history of primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
severe nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
Suspected Narcolepsy,"Modafinil, Armodafinil, Sodium oxybate"
"Confirmed Bipolar I disorder, manic episode","Lithium, Valproate, Quetiapine"
"history of major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
"Major depressive disorder, single episode - needs dosage adjustment","Sertraline, Fluoxetine, Escitalopram"
Bipolar II disorder - experiencing hallucinations,"Lamotrigine, Lithium, Quetiapine"
cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
Schizoaffective disorder - patient stable,"Paliperidone, Clozapine, Haloperidol"
"opioid dependence, worsening symptoms","Buprenorphine, Naltrexone, Methadone"
"Bipolar I disorder, depressed episode - compliant with meds","Lurasidone, Quetiapine, Lamotrigine"
"obsessive-compulsive disorder, agitated behavior","Fluvoxamine, Clomipramine, Fluoxetine"
Panic disorder,"Alprazolam, Clonazepam, Paroxetine"
Mild Hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
"Severe Major depressive disorder, single episode","Sertraline, Fluoxetine, Escitalopram"
High risk of Persistent depressive disorder (Dysthymia),"Citalopram, Sertraline, Mirtazapine"
suspected nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
"Major depressive disorder, recurrent - experiencing hallucinations","Venlafaxine, Duloxetine, Bupropion"
Narcolepsy - suicidal ideation present,"Modafinil, Armodafinil, Sodium oxybate"
Assessment: Nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
Suspected Adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
"persistent depressive disorder (dysthymia), resistant to therapy","Citalopram, Sertraline, Mirtazapine"
Acute exacerbation of Adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
Confirmed Generalized anxiety disorder,"Sertraline, Buspirone, Venlafaxine"
"Major depressive disorder, single episode - cognitive decline","Sertraline, Fluoxetine, Escitalopram"
"Assessment: Major depressive disorder, single episode","Sertraline, Fluoxetine, Escitalopram"
suspected social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
dsm-5 diagnosis: post-traumatic stress disorder (ptsd),"Sertraline, Paroxetine, Prazosin"
mild autism spectrum disorder (irritability),"Risperidone, Aripiprazole, Guanfacine"
mild body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
Schizoaffective disorder - outpatient follow-up,"Paliperidone, Clozapine, Haloperidol"
Body dysmorphic disorder - resistant to therapy,"Sertraline, Fluoxetine, Escitalopram"
Assessment: Alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
"acute stress disorder, poor sleep quality","Clonazepam, Propranolol, Hydroxyzine"
Chronic Adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
"obsessive-compulsive disorder, suicidal ideation present","Fluvoxamine, Clomipramine, Fluoxetine"
Suspected Nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
"Bipolar I disorder, manic episode - high anxiety levels","Lithium, Valproate, Quetiapine"
Delusional disorder,"Aripiprazole, Risperidone, Pimozide"
Social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
Panic disorder - suicidal ideation present,"Alprazolam, Clonazepam, Paroxetine"
"mild bipolar i disorder, depressed episode","Lurasidone, Quetiapine, Lamotrigine"
severe obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
Binge-eating disorder - patient stable,"Lisdexamfetamine, Topiramate, Fluoxetine"
Body dysmorphic,"Sertraline, Fluoxetine, Escitalopram"
"alcohol dependence, compliant with meds","Naltrexone, Acamprosate, Disulfiram"
Seasonal affective disorder - outpatient follow-up,"Bupropion, Fluoxetine, Sertraline"
Schizotypal personality,"Risperidone, Olanzapine, Haloperidol"
Generalized anxiety disorder - worsening symptoms,"Sertraline, Buspirone, Venlafaxine"
"agoraphobia, patient stable","Paroxetine, Sertraline, Fluoxetine"
"social anxiety disorder, poor sleep quality","Sertraline, Propranolol, Venlafaxine"
Severe Schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
"post-traumatic stress disorder (ptsd), first psychotic episode","Sertraline, Paroxetine, Prazosin"
"Schizophrenia, unspecified - patient stable","Risperidone, Olanzapine, Aripiprazole"
high risk of anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
suspected nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
delusional disorder,"Aripiprazole, Risperidone, Pimozide"
Alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
Severe Attention-deficit hyperactivity disorder (ADHD),"Methylphenidate, Amphetamine, Atomoxetine"
Schizoaffective disorder - patient stable,"Paliperidone, Clozapine, Haloperidol"
Brief psychotic disorder - suicidal ideation present,"Haloperidol, Risperidone, Olanzapine"
Confirmed Agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
Assessment: Persistent depressive disorder (Dysthymia),"Citalopram, Sertraline, Mirtazapine"
Chronic Hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
Bipolar II disorder - high anxiety levels,"Lamotrigine, Lithium, Quetiapine"
"opioid dependence, first psychotic episode","Buprenorphine, Naltrexone, Methadone"
dsm-5 diagnosis: tourette's disorder,"Haloperidol, Pimozide, Clonidine"
"bipolar i disorder, manic episode, requires hospitalization","Lithium, Valproate, Quetiapine"
Schizotypal personality,"Risperidone, Olanzapine, Haloperidol"
"anorexia nervosa, high anxiety levels","Olanzapine, Fluoxetine, Mirtazapine"
Persistent depressive disorder (Dysthymia),"Citalopram, Sertraline, Mirtazapine"
cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
Major depressive,"Venlafaxine, Duloxetine, Bupropion"
seasonal affective disorder,"Bupropion, Fluoxetine, Sertraline"
Chronic Social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
Primary insomnia - cognitive decline,"Zolpidem, Eszopiclone, Trazodone"
"generalized anxiety disorder, high anxiety levels","Sertraline, Buspirone, Venlafaxine"
Schizoaffective disorder - outpatient follow-up,"Paliperidone, Clozapine, Haloperidol"
Persistent depressive disorder (Dysthymia) - agitated behavior,"Citalopram, Sertraline, Mirtazapine"
Generalized anxiety disorder - poor sleep quality,"Sertraline, Buspirone, Venlafaxine"
autism spectrum disorder (irritability),"Risperidone, Aripiprazole, Guanfacine"
severe body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
Schizotypal personality disorder,"Risperidone, Olanzapine, Haloperidol"
schizotypal personality disorder,"Risperidone, Olanzapine, Haloperidol"
Body dysmorphic disorder - worsening symptoms,"Sertraline, Fluoxetine, Escitalopram"
Nicotine dependence - outpatient follow-up,"Varenicline, Bupropion, Nicotine patch"
Restless legs syndrome - outpatient follow-up,"Pramipexole, Ropinirole, Gabapentin"
borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
Bipolar II,"Lamotrigine, Lithium, Quetiapine"
Alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
Patient presents with Autism spectrum disorder (irritability),"Risperidone, Aripiprazole, Guanfacine"
Assessment: Social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
history of alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
"acute stress disorder, agitated behavior","Clonazepam, Propranolol, Hydroxyzine"
severe schizotypal personality disorder,"Risperidone, Olanzapine, Haloperidol"
Confirmed Persistent depressive disorder (Dysthymia),"Citalopram, Sertraline, Mirtazapine"
"Major depressive disorder, single episode - agitated behavior","Sertraline, Fluoxetine, Escitalopram"
mild tourette's disorder,"Haloperidol, Pimozide, Clonidine"
bipolar i,"Lithium, Valproate, Quetiapine"
Brief psychotic disorder - poor sleep quality,"Haloperidol, Risperidone, Olanzapine"
"High risk of Schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
"acute stress disorder, experiencing hallucinations","Clonazepam, Propranolol, Hydroxyzine"
assessment: persistent depressive disorder (dysthymia),"Citalopram, Sertraline, Mirtazapine"
Confirmed Hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
Panic disorder,"Alprazolam, Clonazepam, Paroxetine"
"schizophrenia, unspecified, poor sleep quality","Risperidone, Olanzapine, Aripiprazole"
Bulimia nervosa - cognitive decline,"Fluoxetine, Topiramate, Sertraline"
Nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
Mild Schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
Adjustment disorder with depressed mood - agitated behavior,"Escitalopram, Sertraline, Bupropion"
Assessment: Brief psychotic disorder,"Haloperidol, Risperidone, Olanzapine"
"brief psychotic disorder, patient stable","Haloperidol, Risperidone, Olanzapine"
confirmed alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
Acute stress disorder,"Clonazepam, Propranolol, Hydroxyzine"
patient presents with binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
Primary insomnia - requires hospitalization,"Zolpidem, Eszopiclone, Trazodone"
Alcohol dependence - cognitive decline,"Naltrexone, Acamprosate, Disulfiram"
"binge-eating disorder, mood swings reported","Lisdexamfetamine, Topiramate, Fluoxetine"
Suspected Nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
"Assessment: Bipolar I disorder, depressed episode","Lurasidone, Quetiapine, Lamotrigine"
Social anxiety disorder - experiencing hallucinations,"Sertraline, Propranolol, Venlafaxine"
Acute stress disorder - experiencing hallucinations,"Clonazepam, Propranolol, Hydroxyzine"
"nervousness or severe stress, outpatient follow-up","Hydroxyzine, Buspirone, Propranolol"
