diagnosis,severity
"K74.60: Unspecified cirrhosis of liver (advanced stage, palliative care discussed)",HIGH
"B34.9 - Viral infection, unspecified",LOW
"Malignant neoplasm of brain, unspecified - life-threatening, immediate intervention",HIGH
Age-related osteoporosis without fracture,MEDIUM
"C43.9: Malignant melanoma of skin, unspecified (advanced stage, palliative care discussed)",HIGH
F41.1 Generalized anxiety,MEDIUM
Functional dyspepsia - slight discomfort reported,LOW
patient presents with obstructive sleep apnea,MEDIUM
Obstructive sleep apnea,MEDIUM
"confirmed case of anemia, unspecified",MEDIUM
acute myocardial problem,HIGH
generalized anxiety disorder,MEDIUM
"Iron deficiency anemia, unspecified",LOW
"K72.00: Acute and subacute hepatic failure (acute emergency, rapid response)",HIGH
C22.0: Liver cell carcinoma (severe trauma protocol active),HIGH
"H10.9 - Conjunctivitis, unspecified",LOW
"patient presents with acute bronchitis, unspecified",MEDIUM
"Disseminated intravascular coagulation - acute emergency, rapid response",HIGH
"Acute respiratory failure, unspecified - advanced stage, palliative care discussed",HIGH
Routine exam due to Pain in unspecified joint,LOW
Allergic rhinitis due to pollen,LOW
confirmed case of infectious gastroenteritis and colitis,MEDIUM
"G40.909 - Epilepsy, unspecified, not intractable",MEDIUM
"T78.40: Allergy, unspecified (slight discomfort reported)",LOW
E10.10 Type 1,HIGH
"L60.0: Ingrowing nail (patient stable, outpatient treatment)",LOW
Allergic rhinitis due to pollen - slight discomfort reported,LOW
"J30.1: Allergic rhinitis due to pollen (mild symptoms, no complications)",LOW
"Severe presentation, urgent care needed due to Unspecified cirrhosis of liver",HIGH
"Chronic obstructive pulmonary disease with exacerbation - chronic condition, ongoing treatment",MEDIUM
"patient presents with pneumonia, unspecified organism",MEDIUM
K57.30: Diverticulosis of large intestine (stable but requires medication adjustment),MEDIUM
Age-related osteoporosis without fracture - flare-up event,MEDIUM
patient presents with acute nasopharyngitis (common cold),LOW
"M79.3 - Panniculitis, unspecified",LOW
K57.30: Diverticulosis of large intestine (follow-up required in 1 week),MEDIUM
Routine exam due to Ingrowing nail,LOW
"I25.10: Atherosclerotic heart disease (moderate symptoms, requires monitoring)",MEDIUM
"I46.9: Cardiac arrest, cause unspecified (advanced stage, palliative care discussed)",HIGH
"G47.33: Obstructive sleep apnea (chronic condition, ongoing treatment)",MEDIUM
Acute nasopharyngitis (common cold) - self-limiting condition,LOW
"K02.9: Dental caries, unspecified (patient stable, outpatient treatment)",LOW
confirmed case of diverticulosis of large intestine,MEDIUM
"H10.9: Conjunctivitis, unspecified (no acute distress)",LOW
"Immediate surgery required due to Bacterial infection, unspecified (severe)",HIGH
"Acute emergency, rapid response due to Amyotrophic lateral sclerosis (ALS)",HIGH
history of essential (primary) hypertension,MEDIUM
History of Acute and subacute hepatic failure,HIGH
"Minor pain, prescribed rest due to Dysuria",LOW
pain in problem,LOW
"T78.40 - Allergy, unspecified",LOW
acute leukemia of unspecified cell type,HIGH
"Chronic condition, ongoing treatment due to Acute bronchitis, unspecified",MEDIUM
K72.00: Acute and subacute hepatic failure (immediate surgery required),HIGH
Essential (primary) hypertension - flare-up event,MEDIUM
"Minor condition, follow-up in 2 weeks due to Allergic rhinitis, unspecified",LOW
Contusion of ankle - self-limiting condition,LOW
"Pneumonia, unspecified organism - chronic condition, ongoing treatment",MEDIUM
"Mild intermittent asthma, uncomplicated",MEDIUM
"confirmed case of peripheral vascular disease, unspecified",MEDIUM
"D50.9: Iron deficiency anemia, unspecified (no acute distress)",LOW
"impacted cerumen, problem",LOW
Slight discomfort reported due to Acne vulgaris,LOW
"L50.9: Urticaria, unspecified (no acute distress)",LOW
"suspected migraine, unspecified, not intractable",MEDIUM
"Acute kidney failure, unspecified - severe presentation, urgent care needed",HIGH
"assessment: mild intermittent asthma, uncomplicated",MEDIUM
"confirmed case of acute myocardial infarction, unspecified",HIGH
"Spondylosis with radiculopathy, cervical",MEDIUM
"Allergy, unspecified - slight discomfort reported",LOW
Routine exam due to Myalgia,LOW
"Minor pain, prescribed rest due to Vitamin E deficiency",LOW
"Urinary tract infection, site not specified",LOW
"Acute emergency, rapid response due to Malignant melanoma of skin, unspecified",HIGH
"Critical condition, icu admission due to Malignant neoplasm of unspecified part of bronchus or lung",HIGH
I26.99: Pulmonary embolism without acute cor pulmonale (fatal prognosis risk),HIGH
B20 Human immunodeficiency,HIGH
"B18.2: Chronic viral hepatitis C (uncomfortable episode, managing with meds)",MEDIUM
Type 2 diabetes with hyperglycemia,HIGH
I25.10: Atherosclerotic heart disease (stable but requires medication adjustment),MEDIUM
"Traumatic shock - severe presentation, urgent care needed",HIGH
"Intracranial injury, unspecified",HIGH
"Chronic obstructive pulmonary disease with exacerbation - chronic condition, ongoing treatment",MEDIUM
C34.90: Malignant neoplasm of unspecified part of bronchus or lung (immediate surgery required),HIGH
Generalized anxiety disorder - flare-up event,MEDIUM
Routine exam due to Lateral epicondylitis,LOW
Patient presents with Functional dyspepsia,LOW
"history of atopic dermatitis, unspecified",MEDIUM
unspecified cirrhosis problem,HIGH
"Viral infection, unspecified",LOW
No acute distress due to Superficial injury of unspecified body region,LOW
Acute respiratory distress syndrome - severe trauma protocol active,HIGH
"Mild symptoms, no complications due to Primary insomnia",LOW
"Critical condition, icu admission due to Acute and subacute hepatic failure",HIGH
"M47.812: Spondylosis with radiculopathy, cervical (follow-up required in 1 week)",MEDIUM
"Atopic dermatitis, unspecified",MEDIUM
"Acute bronchitis, unspecified - needs specialist referral",MEDIUM
"G30.9 - Alzheimer disease, unspecified",HIGH
"Uncomfortable episode, managing with meds due to Spondylosis with radiculopathy, cervical",MEDIUM
"Malignant neoplasm of unspecified part of bronchus or lung - life-threatening, immediate intervention",HIGH
Suspected Malignant neoplasm of unspecified site of breast,HIGH
"bipolar disorder, problem",MEDIUM
"Mild symptoms, no complications due to Allergic rhinitis due to pollen",LOW
"alzheimer disease, unspecified",HIGH
"Malignant neoplasm of brain, unspecified",HIGH
"I21.9: Acute myocardial infarction, unspecified (critical condition, ICU admission)",HIGH
G35: Multiple sclerosis (fatal prognosis risk),HIGH
T79.4: Traumatic shock (immediate surgery required),HIGH
"Severe presentation, urgent care needed due to Traumatic shock",HIGH
"Allergy, unspecified - minor condition, follow-up in 2 weeks",LOW
gastro-esophageal reflux problem,MEDIUM
History of Contusion of finger,LOW
"Alzheimer disease, unspecified - immediate surgery required",HIGH
"Critical condition, icu admission due to Pulmonary embolism without acute cor pulmonale",HIGH
"L50.9: Urticaria, unspecified (self-limiting condition)",LOW
"thrombocytopenia, unspecified",MEDIUM
"Fatal prognosis risk due to Acute respiratory failure, unspecified",HIGH
"J30.9 Allergic rhinitis,",LOW
Patient presents with Low back pain,LOW
Fatal prognosis risk due to Pulmonary embolism without acute cor pulmonale,HIGH
iron deficiency problem,LOW
"History of Malignant neoplasm of brain, unspecified",HIGH
Acne vulgaris,LOW
"Patient stable, outpatient treatment due to Otitis media, unspecified",LOW
"I50.9 - Heart failure, unspecified",HIGH
Nervousness - self-limiting condition,LOW
"C43.9 - Malignant melanoma of skin, unspecified",HIGH
Recurring symptoms due to Obstructive sleep apnea,MEDIUM
C50.919 - Malignant neoplasm of unspecified site of breast,HIGH
"Malignant melanoma of skin, unspecified - immediate surgery required",HIGH
"Advanced stage, palliative care discussed due to Intracranial injury, unspecified",HIGH
Severe trauma protocol active due to Malignant neoplasm of unspecified part of bronchus or lung,HIGH
"K02.9 - Dental caries, unspecified",LOW
malignant neoplasm of unspecified site of breast,HIGH
Confirmed case of Traumatic shock,HIGH
E10.10: Type 1 diabetes with ketoacidosis (severe trauma protocol active),HIGH
Assessment: Obstructive sleep apnea,MEDIUM
"Advanced stage, palliative care discussed due to Type 1 diabetes with ketoacidosis",HIGH
Atherosclerotic heart disease - stable but requires medication adjustment,MEDIUM
"Age-related osteoporosis without fracture - uncomfortable episode, managing with meds",MEDIUM
"Post-traumatic stress disorder, unspecified",MEDIUM
Assessment: Lateral epicondylitis,LOW
disseminated intravascular coagulation,HIGH
"Atopic dermatitis, unspecified - flare-up event",MEDIUM
"Malignant neoplasm of brain, unspecified - critical condition, ICU admission",HIGH
"History of Acute respiratory failure, unspecified",HIGH
E11.9: Type 2 diabetes mellitus without complications (follow-up required in 1 week),MEDIUM
Chronic viral hepatitis C - needs specialist referral,MEDIUM
Patient presents with Type 2 diabetes with hyperglycemia,HIGH
F32.1 Major depressive,MEDIUM
"Bipolar disorder, unspecified - moderate symptoms, requires monitoring",MEDIUM
acute respiratory problem,HIGH
"Constipation, unspecified - patient stable, outpatient treatment",LOW
"D64.9: Anemia, unspecified (flare-up event)",MEDIUM
G35 - Multiple sclerosis,HIGH
"Uncomfortable episode, managing with meds due to Calculus of gallbladder without obstruction",MEDIUM
E10.10 - Type 1 diabetes with ketoacidosis,HIGH
G35 - Multiple sclerosis,HIGH
M25.50 Pain in,LOW
"Malignant melanoma of skin, unspecified",HIGH
M81.0: Age-related osteoporosis without fracture (needs specialist referral),MEDIUM
contusion of finger,LOW
"E03.9: Hypothyroidism, unspecified (recurring symptoms)",MEDIUM
Confirmed case of Nervousness,LOW
"Severe presentation, urgent care needed due to Malignant melanoma of skin, unspecified",HIGH
K72.00: Acute and subacute hepatic failure (severe trauma protocol active),HIGH
Chronic obstructive pulmonary disease with exacerbation,MEDIUM
"Conjunctivitis, unspecified - minor condition, follow-up in 2 weeks",LOW
Patient presents with Acute nasopharyngitis (common cold),LOW
"Follow-up required in 1 week due to Major depressive disorder, single episode, moderate",MEDIUM
history of acne vulgaris,LOW
Multiple sclerosis,HIGH
superficial injury problem,LOW
"N17.9: Acute kidney failure, unspecified (severe presentation, urgent care needed)",HIGH
"Patient presents with Constipation, unspecified",LOW
"Allergic rhinitis due to pollen - minor pain, prescribed rest",LOW
"Confirmed case of Malignant neoplasm of brain, unspecified",HIGH
"Mild symptoms, no complications due to Acute pharyngitis, unspecified",LOW
malignant neoplasm of unspecified part of bronchus or lung,HIGH
"Malignant neoplasm of pancreas, unspecified - advanced stage, palliative care discussed",HIGH
Acute and subacute hepatic failure,HIGH
"G43.909 Migraine, unspecified,",MEDIUM
"confirmed case of acute myocardial infarction, unspecified",HIGH
Fatal prognosis risk due to Type 2 diabetes with hyperglycemia,HIGH
"Malignant neoplasm of colon, unspecified",HIGH
"I21.9 - Acute myocardial infarction, unspecified",HIGH
atherosclerotic heart disease,MEDIUM
M81.0: Age-related osteoporosis without fracture (recurring symptoms),MEDIUM
"I50.9: Heart failure, unspecified (advanced stage, palliative care discussed)",HIGH
Paroxysmal atrial fibrillation,MEDIUM
"Alzheimer disease, unspecified - fatal prognosis risk",HIGH
malignant neoplasm of unspecified site of breast,HIGH
Lateral epicondylitis - no acute distress,LOW
"T79.4: Traumatic shock (advanced stage, palliative care discussed)",HIGH
"History of Mild intermittent asthma, uncomplicated",MEDIUM
"K59.00 - Constipation, unspecified",LOW
"Severe presentation, urgent care needed due to Malignant neoplasm of pancreas, unspecified",HIGH
"G40.909: Epilepsy, unspecified, not intractable (flare-up event)",MEDIUM
"J02.9: Acute pharyngitis, unspecified (no acute distress)",LOW
"Intracranial injury, unspecified - fatal prognosis risk",HIGH
Stable but requires medication adjustment due to Atherosclerotic heart disease,MEDIUM
"Chronic kidney disease, stage 3 - follow-up required in 1 week",MEDIUM
"anemia, unspecified",MEDIUM
E10.10: Type 1 diabetes with ketoacidosis (fatal prognosis risk),HIGH
I25.10 Atherosclerotic heart,MEDIUM
"cerebral infarction, problem",HIGH
"Acute pharyngitis, unspecified - slight discomfort reported",LOW
Lateral epicondylitis - slight discomfort reported,LOW
confirmed case of acute respiratory distress syndrome,HIGH
history of chronic viral hepatitis c,MEDIUM
"Mild symptoms, no complications due to Dysuria",LOW
"I46.9 - Cardiac arrest, cause unspecified",HIGH
"Moderate symptoms, requires monitoring due to Post-traumatic stress disorder, unspecified",MEDIUM
"B34.9: Viral infection, unspecified (slight discomfort reported)",LOW
Recurring symptoms due to Infectious gastroenteritis and colitis,MEDIUM
acute upper problem,LOW
C50.919 - Malignant neoplasm of unspecified site of breast,HIGH
"J43.9: Emphysema, unspecified (fatal prognosis risk)",HIGH
benign prostatic problem,MEDIUM
confirmed case of acute nasopharyngitis (common cold),LOW
"Assessment: Peripheral vascular disease, unspecified",MEDIUM
"Acute tonsillitis, unspecified",LOW
Slight discomfort reported due to Lateral epicondylitis,LOW
Age-related osteoporosis without fracture,MEDIUM
"Chronic condition, ongoing treatment due to Mild intermittent asthma, uncomplicated",MEDIUM
I25.10 Atherosclerotic heart,MEDIUM
Stable but requires medication adjustment due to Paroxysmal atrial fibrillation,MEDIUM
"Acne vulgaris - patient stable, outpatient treatment",LOW
"Severe presentation, urgent care needed due to End stage renal disease",HIGH
"Allergic rhinitis, unspecified",LOW
"Iron deficiency anemia, unspecified",LOW
"Moderate symptoms, requires monitoring due to Chronic obstructive pulmonary disease with exacerbation",MEDIUM
"K74.60: Unspecified cirrhosis of liver (severe presentation, urgent care needed)",HIGH
History of Lateral epicondylitis,LOW
Allergic rhinitis due to pollen,LOW
Paroxysmal atrial fibrillation,MEDIUM
Recurring symptoms due to Age-related osteoporosis without fracture,MEDIUM
"M77.10: Lateral epicondylitis (minor condition, follow-up in 2 weeks)",LOW
R10.9: Unspecified abdominal pain (slight discomfort reported),LOW
"Moderate symptoms, requires monitoring due to Spondylosis with radiculopathy, cervical",MEDIUM
E10.10: Type 1 diabetes with ketoacidosis (fatal prognosis risk),HIGH
"rheumatoid arthritis, unspecified",MEDIUM
"B07.9 - Viral wart, unspecified",LOW
parkinson disease,MEDIUM
A09 - Infectious gastroenteritis and colitis,MEDIUM
"Advanced stage, palliative care discussed due to Acute respiratory failure, unspecified",HIGH
"assessment: intracranial injury, unspecified",HIGH
